id,fiscal_year,function_,program,department,Type,Type_Detail,approved_amount,fund_type,exFund,ExpenseType,ObjectId
57,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Guest Speaker Fees,126,General,General,Expenditures,1014
58,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Landscaping Supplies,321,General,General,Expenditures,1026
59,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Photo & Duplicating Supplies,644,General,General,Expenditures,1030
60,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,5300,Special Revenue,Special Revenue,Expenditures,1049
61,2019,Culture and Recreation,,Parks and Recreation,Rentals,"Rental of Land, Offices",315,General,General,Expenditures,1051
62,2019,Culture and Recreation,,Parks and Recreation,Building Maintenance,Building Repair Materials,315,General,General,Expenditures,1075
63,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,300,Special Revenue,Special Revenue,Expenditures,1080
64,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,430721,Special Revenue,Special Revenue,Expenditures,1088
65,2019,Welfare,,Parks and Recreation,General Supplies,Groceries,54500,Special Revenue,Special Revenue,Expenditures,1103
66,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Video Production Services,189,General,General,Expenditures,1104
67,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,95266,General,General,Expenditures,1134
68,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Buses/Transportation,5969,General,General,Expenditures,1150
69,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,459,General,General,Expenditures,1153
70,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Non-Employee Travel,2296,General,General,Expenditures,1183
71,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,10000,General,General,Expenditures,1214
72,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,230,General,General,Expenditures,1223
73,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Wheel Chairs/Adaptive Appliances,980,General,General,Expenditures,1266
74,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,570112,General,General,Expenditures,1273
75,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,29838,General,General,Expenditures,1304
76,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Water,706,General,General,Expenditures,1334
77,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Fitness Equipment,4592,General,General,Expenditures,1368
78,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,83500,General,General,Expenditures,1379
79,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,3200,Special Revenue,Special Revenue,Expenditures,1390
80,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,2000,Special Revenue,Special Revenue,Expenditures,1405
81,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,230,General,General,Expenditures,1408
82,2019,Culture and Recreation,,Parks and Recreation,Rentals,Rental Of Office Equipment,138,General,General,Expenditures,1417
83,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,17906,General,General,Expenditures,1420
84,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,1000,Special Revenue,Special Revenue,Expenditures,1421
85,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,10000,Special Revenue,Special Revenue,Expenditures,1426
86,2019,Culture and Recreation,,Parks and Recreation,Building Maintenance,Custodial Supplies,505,General,General,Expenditures,1443
87,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,90571,General,General,Expenditures,1457
88,2019,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,49,General,General,Expenditures,1490
89,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,257,General,General,Expenditures,1530
90,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,275,General,General,Expenditures,1553
91,2019,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,4680,General,General,Expenditures,1564
92,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,50000,General,General,Expenditures,1575
93,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Buses/Transportation,60108,General,General,Expenditures,1600
94,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,9250,General,General,Expenditures,1601
95,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,3490,General,General,Expenditures,1612
96,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,1000,Special Revenue,Special Revenue,Expenditures,1617
97,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Contract Services,3550,General,General,Expenditures,1635
98,2019,Culture and Recreation,,Parks and Recreation,Insurance,Premiums Paid,918,General,General,Expenditures,1681
99,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,2000,Special Revenue,Special Revenue,Expenditures,1695
100,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,14253,General,General,Expenditures,1718
101,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Application Software,4007,General,General,Expenditures,1737
102,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,2500,Special Revenue,Special Revenue,Expenditures,1747
103,2019,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,459,General,General,Expenditures,1749
104,2019,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,65463,Special Revenue,Special Revenue,Expenditures,1760
105,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,41991,Special Revenue,Special Revenue,Expenditures,1777
106,2019,Economic Development and Assistance,,Parks and Recreation,Utilities,Telephone - Basic,100,Special Revenue,Special Revenue,Expenditures,1783
107,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,276,General,General,Expenditures,1789
108,2019,Culture and Recreation,,Parks and Recreation,Insurance,Insurance & Bonds,47,General,General,Expenditures,1802
109,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,5878,General,General,Expenditures,1806
110,2019,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,1573,General,General,Expenditures,1807
111,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,10000,Special Revenue,Special Revenue,Expenditures,1824
112,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,2938,General,General,Expenditures,1826
113,2019,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,1010,General,General,Expenditures,1848
114,2019,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,455,General,General,Expenditures,1862
115,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,20057,Special Revenue,Special Revenue,Expenditures,1871
116,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Professional Certifications,413,General,General,Expenditures,1875
117,2019,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,3214,General,General,Expenditures,1894
118,2019,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,459,General,General,Expenditures,1958
119,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,872,Special Revenue,Special Revenue,Expenditures,1985
120,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,1440640,General,General,Expenditures,1991
121,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,1653,General,General,Expenditures,1997
122,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Permits,286,General,General,Expenditures,2005
123,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,1000,General,General,Expenditures,2010
124,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Tables & Chairs,7902,General,General,Expenditures,2032
125,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,900,General,General,Expenditures,2041
126,2019,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Equipment,21568,General,General,Expenditures,2043
127,2019,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,25000,General,General,Expenditures,2047
128,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,276,General,General,Expenditures,2072
129,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,17973,General,General,Expenditures,2086
130,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,300,Special Revenue,Special Revenue,Expenditures,2115
131,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,99935,General,General,Expenditures,2135
132,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,2296,General,General,Expenditures,2163
133,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Community Events - Perishables,1264,General,General,Expenditures,2166
134,2019,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,3755,Special Revenue,Special Revenue,Expenditures,2186
135,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,2388,General,General,Expenditures,2187
136,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Travel,4591,General,General,Expenditures,2221
137,2019,Economic Development and Assistance,,Parks and Recreation,Professional Services,Other Professional Services,15000,Special Revenue,Special Revenue,Expenditures,2227
138,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,9137,General,General,Expenditures,2251
139,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,17000,Special Revenue,Special Revenue,Expenditures,2267
140,2019,Culture and Recreation,,Parks and Recreation,Building Maintenance,Paint Supplies,155,General,General,Expenditures,2316
141,2019,Culture and Recreation,,Parks and Recreation,Rentals,Port-A-Potties,493,General,General,Expenditures,2343
142,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,2152,General,General,Expenditures,2355
143,2019,Culture and Recreation,,Parks and Recreation,General Supplies,RECTRAC System Supplies,919,General,General,Expenditures,2386
144,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,27560,General,General,Expenditures,2388
145,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,6852,General,General,Expenditures,2391
146,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Educational Supplies,10018,General,General,Expenditures,2395
147,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,1500,Special Revenue,Special Revenue,Expenditures,2402
148,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,155,General,General,Expenditures,2405
149,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,2614775,General,General,Expenditures,2426
150,2019,Culture and Recreation,,Parks and Recreation,General Supplies,RECTRAC System Supplies,4087,General,General,Expenditures,2460
151,2019,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Facilities,1088,General,General,Expenditures,2474
152,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,11891,General,General,Expenditures,2496
153,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,918,General,General,Expenditures,2506
154,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,4591,General,General,Expenditures,2532
155,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,6588,General,General,Expenditures,2539
156,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,8087,General,General,Expenditures,2556
157,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,1779,General,General,Expenditures,2564
158,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,500,Special Revenue,Special Revenue,Expenditures,2601
159,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,95391,General,General,Expenditures,2610
160,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Decorations,6857,General,General,Expenditures,2611
161,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Capital Recovery Expense,22547,General,General,Expenditures,2619
162,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,1000,Special Revenue,Special Revenue,Expenditures,2633
163,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,33493,General,General,Expenditures,2637
164,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,57897,General,General,Expenditures,2660
165,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Permit Fees,184,General,General,Expenditures,2680
166,2019,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,700,Special Revenue,Special Revenue,Expenditures,2706
167,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Tires & Tubes,2755,General,General,Expenditures,2751
168,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,1000,Special Revenue,Special Revenue,Expenditures,2791
169,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,151,Special Revenue,Special Revenue,Expenditures,2816
170,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,4132,General,General,Expenditures,2829
171,2019,Culture and Recreation,,Parks and Recreation,Professional Services,CPR Vendors,12523,General,General,Expenditures,2859
172,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,35945,Special Revenue,Special Revenue,Expenditures,2875
173,2019,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,54913,General,General,Expenditures,2883
174,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,7340,Special Revenue,Special Revenue,Expenditures,2886
175,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,4142,General,General,Expenditures,2915
176,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,5649,General,General,Expenditures,2940
177,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,965,General,General,Expenditures,3007
178,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Landscaping Supplies,1424,General,General,Expenditures,3023
179,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,1377,General,General,Expenditures,3028
180,2019,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,11790,General,General,Expenditures,3048
181,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,6474,General,General,Expenditures,3057
182,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,4038,General,General,Expenditures,3058
183,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,2500,Special Revenue,Special Revenue,Expenditures,3062
184,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Seminars/Outside Training Fees,918,General,General,Expenditures,3089
185,2019,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,37276,General,General,Expenditures,3119
186,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,629,General,General,Expenditures,3122
187,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,4592,General,General,Expenditures,3153
188,2019,Culture and Recreation,,Parks and Recreation,General Supplies,RECTRAC System Supplies,322,General,General,Expenditures,3200
189,2019,Welfare,,Parks and Recreation,Miscellaneous,Internal Charges,4000,Special Revenue,Special Revenue,Expenditures,3205
190,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,31608,General,General,Expenditures,3241
191,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,1310531,General,General,Expenditures,3261
192,2019,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Equipment,4316,General,General,Expenditures,3272
193,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Travel,8271,General,General,Expenditures,3304
194,2019,Economic Development and Assistance,,Parks and Recreation,General Supplies,Special Department Supplies,100000,Special Revenue,Special Revenue,Expenditures,3311
195,2019,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Software,14018,General,General,Expenditures,3340
196,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Seminars/Outside Training Fees,126,General,General,Expenditures,3346
197,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Kitchen Utensils,3122,General,General,Expenditures,3347
198,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Costumes,9522,General,General,Expenditures,3350
199,2019,Culture and Recreation,,Parks and Recreation,Building Maintenance,Custodial Supplies,5514,General,General,Expenditures,3357
200,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,246793,General,General,Expenditures,3361
201,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,5000,Special Revenue,Special Revenue,Expenditures,3370
202,2019,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,3750,Special Revenue,Special Revenue,Expenditures,3377
203,2019,Culture and Recreation,,Parks and Recreation,Building Maintenance,Heat/AC Repair Materials,315,General,General,Expenditures,3382
204,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Arts and Craft Supplies,13662,General,General,Expenditures,3406
205,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,100000,General,General,Expenditures,3460
206,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Internal Charges,44635,Special Revenue,Special Revenue,Expenditures,3462
207,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,3326115,General,General,Expenditures,3467
208,2019,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,14998,General,General,Expenditures,3471
209,2019,Welfare,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,10000,Special Revenue,Special Revenue,Expenditures,3512
210,2019,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,6414,General,General,Expenditures,3518
211,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Arts and Craft Supplies,1507,General,General,Expenditures,3528
212,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,6400,Special Revenue,Special Revenue,Expenditures,3530
213,2019,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,488,General,General,Expenditures,3537
214,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Books & Maps,431,General,General,Expenditures,3539
215,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,21735,General,General,Expenditures,3542
216,2019,Welfare,,Parks and Recreation,General Supplies,Special Department Supplies,35500,Special Revenue,Special Revenue,Expenditures,3573
217,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,184,General,General,Expenditures,3586
218,2019,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,1761,General,General,Expenditures,3587
219,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,5500,General,General,Expenditures,3626
220,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,3119,General,General,Expenditures,3635
221,2019,Culture and Recreation,,Parks and Recreation,Miscellaneous,Association Fees,275,General,General,Expenditures,3651
222,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,4179,General,General,Expenditures,3673
223,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Artistic Services,200000,Special Revenue,Special Revenue,Expenditures,3718
224,2019,Culture and Recreation,,Parks and Recreation,Rentals,Port-A-Potties,6200,Special Revenue,Special Revenue,Expenditures,3730
225,2019,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,2651352,General,General,Expenditures,3732
226,2019,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,551,General,General,Expenditures,3738
227,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,17971,General,General,Expenditures,3860
228,2019,Culture and Recreation,,Parks and Recreation,General Supplies,Fitness Equipment,30034,General,General,Expenditures,3879
229,2019,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,3000,Special Revenue,Special Revenue,Expenditures,3929
230,2019,Culture and Recreation,,Parks and Recreation,Insurance,Premiums Paid,826,General,General,Expenditures,3936
231,2019,Economic Development and Assistance,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,10000,Special Revenue,Special Revenue,Expenditures,3937
232,2019,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,28608,General,General,Expenditures,3943
233,2019,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,1933,General,General,Expenditures,3945
